page_name,value,is_exclusion,detailed_type,spend_per_target,page_id
All Pro-Democrat Pages,Kid Rock,TRUE,INTERESTS,3601087.456556702,NA
All Pro-Democrat Pages,Joe Rogan,TRUE,INTERESTS,3381644.530162743,NA
All Pro-Democrat Pages,Ted Nugent,TRUE,INTERESTS,2885905.829453549,NA
All Pro-Democrat Pages,Roseanne Barr,TRUE,INTERESTS,1395164.7728738084,NA
All Pro-Democrat Pages,Clint Eastwood,TRUE,INTERESTS,1388221.780858474,NA
All Pro-Democrat Pages,Duck Dynasty,TRUE,INTERESTS,1340437.3201732172,NA
All Pro-Democrat Pages,Fox News,TRUE,DEMOGRAPHICS,1325701.5750147072,NA
All Pro-Democrat Pages,Hunting,TRUE,INTERESTS,1237266.0400581425,NA
All Pro-Democrat Pages,Elon Musk,TRUE,INTERESTS,1236373.1672105992,NA
All Pro-Democrat Pages,NASCAR,TRUE,INTERESTS,1184487.7046886738,NA
All Pro-Democrat Pages,Ayn Rand,TRUE,INTERESTS,949313.1235155688,NA
All Pro-Democrat Pages,Trucking,TRUE,INTERESTS,936469.6226341586,NA
All Pro-Democrat Pages,Fox Broadcasting Company,TRUE,INTERESTS,926265.7800474421,NA
All Pro-Democrat Pages,Chris Pratt,TRUE,INTERESTS,827223.3158520773,NA
All Pro-Democrat Pages,Garth Brooks,TRUE,INTERESTS,721601.324294039,NA
All Pro-Democrat Pages,Joe Rogan Questions Everything,TRUE,INTERESTS,707750.3776361691,NA
All Pro-Democrat Pages,Objectivism (Ayn Rand),TRUE,INTERESTS,706417.9878209215,NA
All Pro-Democrat Pages,The Dr. Oz Show,TRUE,INTERESTS,691638.0021595141,NA
All Pro-Democrat Pages,J. K. Rowling,TRUE,INTERESTS,689804.6592513821,NA
All Pro-Democrat Pages,Dana White,TRUE,INTERESTS,658863.3880911694,NA
All Pro-Democrat Pages,Big-game hunting,TRUE,INTERESTS,620533.0914394192,NA
All Pro-Republican Pages,PETA (People for the Ethical Treatment of Animals),TRUE,INTERESTS,569606.1332617253,NA
All Pro-Democrat Pages,College grad,TRUE,DEMOGRAPHICS,554737.4821322907,NA
All Pro-Democrat Pages,Saturday Night Live,TRUE,INTERESTS,547236.907547889,NA
All Pro-Democrat Pages,Girls with guns,TRUE,INTERESTS,533107.7597695175,NA
All Pro-Democrat Pages,Blue Bloods (TV series),TRUE,INTERESTS,497768.6974700277,NA
All Pro-Democrat Pages,Petroleum industry,TRUE,INTERESTS,495941.3662440426,NA
All Pro-Democrat Pages,Master's degree,TRUE,DEMOGRAPHICS,490549.3921806775,NA
All Pro-Democrat Pages,NPR,TRUE,INTERESTS,490121.52338113915,NA
All Pro-Democrat Pages,Gloc-9,TRUE,INTERESTS,488780.9023145597,NA
All Pro-Democrat Pages,Barstool Sports,TRUE,INTERESTS,487375.03424833243,NA
All Pro-Democrat Pages,Toby Keith,TRUE,INTERESTS,478943.1079147199,NA
All Pro-Democrat Pages,Professional degree,TRUE,DEMOGRAPHICS,466350.37143347185,NA
All Pro-Democrat Pages,Deer hunting,TRUE,INTERESTS,461652.80471996724,NA
All Pro-Democrat Pages,NPR Morning Edition,TRUE,INTERESTS,460424.3050969167,NA
All Pro-Democrat Pages,NewYorker,TRUE,INTERESTS,460166.0819274832,NA
All Pro-Democrat Pages,military channel,TRUE,INTERESTS,443433.23072471004,NA
All Pro-Democrat Pages,Petroleum,TRUE,INTERESTS,435286.92918633996,NA
All Pro-Republican Pages,Toyota Prius,TRUE,INTERESTS,412259.23423955444,NA
All Pro-Democrat Pages,Brantley Gilbert,TRUE,INTERESTS,404130.3423509921,NA
All Pro-Democrat Pages,Granger Smith,TRUE,INTERESTS,404130.3423509921,NA
All Pro-Democrat Pages,Military history,TRUE,INTERESTS,404130.3423509921,NA
All Pro-Democrat Pages,Swamp People,TRUE,INTERESTS,404130.3423509921,NA
All Pro-Democrat Pages,Trucks,TRUE,INTERESTS,397839.777589546,NA
All Pro-Democrat Pages,Doctorate degree,TRUE,DEMOGRAPHICS,384936.1756801124,NA
All Pro-Democrat Pages,NCIS (TV series),TRUE,INTERESTS,364452.31255281216,NA
All Pro-Democrat Pages,In grad school,TRUE,DEMOGRAPHICS,364108.02254278003,NA
All Pro-Democrat Pages,Some grad school,TRUE,DEMOGRAPHICS,364108.02254278003,NA
All Pro-Democrat Pages,In college,TRUE,DEMOGRAPHICS,362883.31735810597,NA
All Pro-Democrat Pages,Chuck Norris,TRUE,INTERESTS,349197.73880684766,NA
All Pro-Democrat Pages,Trump Tower (New York City),TRUE,INTERESTS,326781.5760215404,NA
All Pro-Democrat Pages,Construction,TRUE,INTERESTS,320377.2377816093,NA
All Pro-Republican Pages,Veganism,TRUE,INTERESTS,302264.35483235255,NA
All Pro-Democrat Pages,Kanye West,TRUE,INTERESTS,286319.37383217236,NA
All Pro-Democrat Pages,Some college,TRUE,DEMOGRAPHICS,278481.8938513499,NA
All Pro-Democrat Pages,NPR's Weekend Edition,TRUE,INTERESTS,274780.2641564615,NA
All Pro-Democrat Pages,Associate degree,TRUE,DEMOGRAPHICS,263710.5225407828,NA
All Pro-Democrat Pages,Fox,TRUE,INTERESTS,252003.88334344066,NA
All Pro-Democrat Pages,Auto racing,TRUE,INTERESTS,225697.83138528146,NA
All Pro-Democrat Pages,Country music,TRUE,INTERESTS,225047.0997499624,NA
All Pro-Democrat Pages,Management,TRUE,DEMOGRAPHICS,221749.96851303702,NA
All Pro-Democrat Pages,Exxon,TRUE,INTERESTS,215419.6769568033,NA
All Pro-Democrat Pages,Elisabeth Hasselbeck,TRUE,INTERESTS,212340.51273579584,NA
