page_name,value,is_exclusion,detailed_type,spend_per_target,page_id
Minnesota Values Campaign,Roseanne Barr,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,The Dr. Oz Show,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Ted Nugent,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Objectivism (Ayn Rand),TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,J. K. Rowling,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Ayn Rand,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Chris Pratt,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Dana White,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Clint Eastwood,TRUE,INTERESTS,502772,251769592193596
Minnesota Values Campaign,Kid Rock,TRUE,INTERESTS,490307.53975208383,251769592193596
Minnesota Values Campaign,Elon Musk,TRUE,INTERESTS,442771.1188065963,251769592193596
Citizens For Sanity,PETA (People for the Ethical Treatment of Animals),TRUE,INTERESTS,399666.81013510504,107013225481098
Minnesota Values Campaign,Trucks,TRUE,INTERESTS,391367.9477842038,251769592193596
Stand Up America,Kid Rock,TRUE,INTERESTS,389492,169597416843751
Stand Up America,Joe Rogan,TRUE,INTERESTS,384510.3862908914,169597416843751
Stand Up America,Ted Nugent,TRUE,INTERESTS,384510.3862908914,169597416843751
Stand Up America,Fox News,TRUE,DEMOGRAPHICS,376025.3499732765,169597416843751
Stand Up America,Big-game hunting,TRUE,INTERESTS,375023.4392272934,169597416843751
House Majority PAC,Kid Rock,TRUE,INTERESTS,359479.42814107565,228754857151053
Citizens For Sanity,Toyota Prius,TRUE,INTERESTS,333895.1950498528,107013225481098
House Majority PAC,Ted Nugent,TRUE,INTERESTS,327792.25447526126,228754857151053
House Majority PAC,Trucking,TRUE,INTERESTS,313708.9772904548,228754857151053
PushBlack,Facebook Messenger,TRUE,INTERESTS,257141.1858803733,1600352356914768
Walden University,Doctorate degree,TRUE,DEMOGRAPHICS,256577.60541525303,6514736316
How to Vote,NPR Morning Edition,TRUE,INTERESTS,255024,103026384819654
How to Vote,NPR,TRUE,INTERESTS,255024,103026384819654
How to Vote,NewYorker,TRUE,INTERESTS,255024,103026384819654
Stand Up America,Petroleum industry,TRUE,INTERESTS,250707.47666665533,169597416843751
Catherine Cortez Masto,Ted Nugent,TRUE,INTERESTS,244262.63952649213,933921763326425
Vote Early 2022,Ted Nugent,TRUE,INTERESTS,234030.11354466816,104673218071670
Vote Early 2022,Joe Rogan,TRUE,INTERESTS,234030.11354466816,104673218071670
The Voter Participation Center,Duck Dynasty,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Jack Nicholson,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,PGA Tour,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Snuff (tobacco),TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Chicago Fire (TV series),TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Daytona 500,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Town & Country (magazine),TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Night Ranger,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Modified jeeps and open jeeps,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,John Wayne,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Jimmy Buffett,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Duran Duran,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Modified Jeeps,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Redneck Mud Park,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Vineyard Vines,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Blue Bloods (TV series),TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Southern Living,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Hall & Oates,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Two and a Half Men,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Clint Eastwood,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Debbie Gibson,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Baywatch,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Chewing tobacco,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Jimmy Buffett's Margaritaville,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Tom Clancy,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Realtree Outdoors,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Indianapolis Motor Speedway,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Dipping tobacco,TRUE,INTERESTS,216538.88349278146,260754507296508
The Voter Participation Center,Indianapolis 500,TRUE,INTERESTS,216538.88349278146,260754507296508
House Majority PAC,Saturday Night Live,TRUE,INTERESTS,207848.94845158682,228754857151053
Voter Formation Project,NewYorker,TRUE,INTERESTS,205142.08192748317,101147562054748
Voter Formation Project,NPR Morning Edition,TRUE,INTERESTS,205142.08192748317,101147562054748
AFSCME,Ted Nugent,TRUE,INTERESTS,194333.36342125473,6165653060
AFSCME,Kid Rock,TRUE,INTERESTS,194333.36342125473,6165653060
Alliance for Common Sense,Associate degree,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,Professional degree,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,In college,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,Some college,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,Master's degree,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,In grad school,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,College grad,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,Doctorate degree,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for Common Sense,Some grad school,TRUE,DEMOGRAPHICS,189081.18152159188,212345709507058
Alliance for a Better Minnesota,Ayn Rand,TRUE,INTERESTS,187032.65925138205,27670195475
Alliance for a Better Minnesota,Fox News,TRUE,DEMOGRAPHICS,187032.65925138205,27670195475
Alliance for a Better Minnesota,Roseanne Barr,TRUE,INTERESTS,187032.65925138205,27670195475
Alliance for a Better Minnesota,J. K. Rowling,TRUE,INTERESTS,187032.65925138205,27670195475
Alliance for a Better Minnesota,Elon Musk,TRUE,INTERESTS,187032.65925138205,27670195475
Alliance for a Better Minnesota,Kid Rock,TRUE,INTERESTS,187032.65925138205,27670195475
Alliance for a Better Minnesota,Clint Eastwood,TRUE,INTERESTS,187032.65925138205,27670195475
